title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,season
chez nous,2017-02-22,Drame,119,Lucas Belvaux,"Lucas Belvaux, Jerome Leroy","Emilie Dequenne, André Dussollier, Guillaume Gouix",France,Le Pacte,144 010,"3,3","3,2",465869,0.0,Winter
she's out of my league,2010-06-23,"Comédie, Romance",104,Jim Field Smith,"John Morris (IV), Sean Anders","Jay Baruchel, Alice Eve, T.J. Miller",U.S.A.,Paramount Pictures France,3 493,"2,6","2,7",526408,20000000.0,Summer
"costa brava, lebanon",2022-07-27,Drame,107,Mounia Akl,"Clara Roquet, Mounia Akl","Nadine Labaki, Saleh Bakri, Nadia Charbel",Liban,Eurozoom,6 597,"3,4","3,3",10058,0.0,Summer
rizu to aoi tori,2019-04-17,"Animation, Drame",90,Naoko Yamada,Reiko Yoshida,"Atsumi Tanezaki, Nao Tōyama, Miyu Honda",Japon,Eurozoom,9 194,"3,6","3,4",51701,0.0,Spring
amitiés sincères,2013-01-30,Comédie dramatique,104,Stephan Archinard,"François Prévôt-Leygonie, Stephan Archinard, François Prévôt-Leygonie","Gérard Lanvin, Jean-Hugues Anglade, Wladimir Yordanoff",France,SND,363 024,"2,8","3,4",729497,0.0,Winter
charlie's angels: full throttle,2003-07-16,"Action, Comédie, Aventure, Policier",105,McG,"John August, Cormac Wibberley","Cameron Diaz, Drew Barrymore, Lucy Liu",U.S.A.,Columbia TriStar Films,666 221,"3,4","2,0",35407,120000000.0,Summer
gun-ham-do,2018-03-14,"Action, Drame",151,Seung-wan Ryoo,Seung-wan Ryoo,"Jung-Min Hwang, So Ji-Sub, Joong-ki Song",Corée du Sud,Metropolitan FilmExport,1 503,"3,5","3,7",69649,21000000.0,Spring
starred up,2014-06-04,Drame,105,David Mackenzie,Jonathan Asser,"Jack O'Connell, Rupert Friend, Ben Mendelsohn",Grande-Bretagne,"Wild Side Films , Le Pacte",35 412,"3,8","4,0",618230,0.0,Summer
les cowboys,2015-11-25,Drame,105,Thomas Bidegain,"Thomas Bidegain, Noé Debré","François Damiens, Finnegan Oldfield, Agathe Dronne",France,Pathé,114 382,"3,5","3,6",499331,0.0,Autumn
the queen,2006-10-18,"Drame, Historique, Biopic",99,Stephen Frears,Peter Morgan,"Helen Mirren, James Cromwell, Alex Jennings",France,Pathé,308 469,"4,0","3,5",232671,15000000.0,Autumn
a trois on y va,2015-03-25,"Comédie, Romance",86,Jérôme Bonnell,Jérôme Bonnell,"Anaïs Demoustier, Félix Moati, Sophie Verbeeck",France,Wild Bunch Distribution,66 999,"3,9","3,1",506317,0.0,Spring
child's play,2019-06-19,Epouvante-horreur,90,Lars Klevberg,Tyler Burton Smith,"Mark Hamill, Aubrey Plaza, Gabriel Bateman",U.S.A.,Paramount Pictures France,87 030,"3,0","2,7",150113,9000000.0,Summer
les derniers jours du monde,2009-08-19,Comédie dramatique,130,Jean-Marie Larrieu,"Arnaud Larrieu, Arnaud Larrieu, Jean-Marie Larrieu","Mathieu Amalric, Catherine Frot, Karin Viard",France,Wild Bunch Distribution,71 726,"3,5","2,2",579710,0.0,Summer
the party,2017-09-13,"Drame, Comédie",71,Sally Potter,Sally Potter,"Kristin Scott Thomas, Timothy Spall, Patricia Clarkson",Grande-Bretagne,Eurozoom,21 193,"3,0","3,1",72187,1500000.0,Autumn
nocturama,2016-08-31,"Drame, Thriller",130,Bertrand Bonello,Bertrand Bonello,"Finnegan Oldfield, Vincent Rottiers, Hamza Meziani",France,Wild Bunch Distribution,28 472,"3,4","2,7",375661,0.0,Summer
machete kills,2013-10-02,Action,107,Robert Rodriguez,Kyle Ward,"Danny Trejo, Michelle Rodriguez, Mel Gibson",U.S.A.,Wild Bunch Distribution,86 223,"2,9","2,8",1150002,12000000.0,Autumn
mauvaise fille,2012-11-28,Drame,108,Patrick Mille,"Patrick Mille, Justine Levy","Izïa Higelin, Carole Bouquet, Bob Geldof",France,ARP Sélection,42 660,"3,1","2,4",1034402,0.0,Autumn
"men, women & children",2014-12-10,Comédie dramatique,119,Jason Reitman,"Jason Reitman, Erin Cressida Wilson","Ansel Elgort, Jennifer Garner, Adam Sandler",U.S.A.,Paramount Pictures France,21 894,"2,3","3,2",268537,0.0,Winter
les francis,2014-07-23,Comédie,85,Fabrice Begotti,"Jean-Charles Felli, Pierre-Marie Mosconi","Lannick Gautry, Medi Sadoun, Alice David",France,Mars Films,205 642,"3,2","1,8",658698,0.0,Summer
sa majesté minor,2007-10-10,"Comédie, Fantastique",101,Jean-Jacques Annaud,"Gérard Brach, Jean-Jacques Annaud","José Garcia, Vincent Cassel, Sergio Peris-Mencheta",France,StudioCanal,101 297,"2,1","1,3",283163,0.0,Autumn
taj mahal,2015-12-02,Drame,91,Nicolas Saada,Nicolas Saada,"Stacy Martin, Louis-Do de Lencquesaing, Gina McKee",France,Bac Films,20 007,"3,2","2,3",378258,0.0,Winter
the one,2001-11-28,"Science fiction, Action",87,James Wong,"Glen Morgan, James Wong","Jet Li, Delroy Lindo, Jason Statham",U.S.A.,Columbia TriStar Films,264 342,"2,6","2,0",34483,49000000.0,Autumn
la belle personne,2008-09-17,Comédie dramatique,90,Christophe Honoré,"Christophe Honoré, Gilles Taurand","Louis Garrel, Léa Seydoux, Grégoire Leprince-Ringuet",France,Le Pacte,30 604,"3,5","3,1",279857,0.0,Autumn
café de flore,2012-01-25,Drame,120,Jean-Marc Vallée,Jean-Marc Vallée,"Vanessa Paradis, Kevin Parent, Hélène Florent",France,UGC Distribution,47 611,"2,7","3,3",1051157,0.0,Winter
resident evil: retribution,2012-09-26,"Action, Science fiction",95,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Michelle Rodriguez, Kevin Durand",Canada,Metropolitan FilmExport,265 993,"1,9","1,9",3634178,65000000.0,Autumn
passengers,2009-03-11,"Thriller, Fantastique",95,Rodrigo García,Ronnie Christensen,"Anne Hathaway, Patrick Wilson, Andre Braugher",U.S.A.,Metropolitan FilmExport,46 507,"2,0","2,1",218486,110000000.0,Spring
kaboom,2010-10-06,Comédie,86,Gregg Araki,Gregg Araki,"Thomas Dekker, Juno Temple, Roxane Mesquida",U.S.A.,Wild Bunch Distribution,54 729,"4,1","3,0",1114996,0.0,Autumn
the american,2010-10-27,"Thriller, Drame",103,Anton Corbijn,Rowan Joffe,"George Clooney, Thekla Reuten, Bruce Altman",U.S.A.,Mars Films,308 290,"3,4","2,0",987953,20000000.0,Autumn
à la folie,2022-04-06,Drame,82,Audrey Estrougo,Audrey Estrougo,"Virginie Van Robby, Lucie Debay, Anne Coesens",France,Damned Distribution,1 150,"3,0","3,0",143998,0.0,Spring
charlie wilson's war,2008-01-16,"Drame, Biopic",105,Mike Nichols,Aaron Sorkin,"Julia Roberts, Tom Hanks, Philip Seymour Hoffman",U.S.A.,Paramount Pictures France,280 835,"3,6","3,2",204319,75000000.0,Winter
gueule d'ange,2018-05-23,Drame,108,Vanessa Filho,Vanessa Filho,"Marion Cotillard, Ayline Aksoy-Etaix, Alban Lenoir",France,Mars Films,54 073,"3,0","2,9",427707,0.0,Spring
la passagère,1964-10-28,Drame,62,Andrzej Munk,"Witold Lesiewicz, Zofia Posmysz, Andrzej Munk","Anna Ciepielewska, Aleksandra Slaska, Jan Kreczmar",Pologne,Malavida Films,1 420,"4,6","3,6",1856,0.0,Autumn
le poulain,2018-09-19,Comédie,97,Mathieu Sapin,"Mathieu Sapin, Noé Debré","Alexandra Lamy, Finnegan Oldfield, Gilles Cohen",France,Bac Films,92 645,"3,2","2,5",581009,0.0,Autumn
comme une image,2004-09-22,"Comédie dramatique, Musical",110,Agnès Jaoui,"Agnès Jaoui, Jean-Pierre Bacri","Marilou Berry, Agnès Jaoui, Jean-Pierre Bacri",France,Mars Distribution,590 485,"3,8","3,0",56540,0.0,Autumn
la fille publique,2013-06-12,Drame,132,Cheyenne Carron,Cheyenne Carron,"Doria Achour, Anne Lambert, Joël Ravon",France,Carron Distribution,427,"3,0","3,5",27376,0.0,Summer
aquarius,2016-09-28,"Drame, Thriller",145,Kleber Mendonça Filho,Kleber Mendonça Filho,"Sônia Braga, Maeve Jinkings, Irandhir Santos",Brésil,SBS Distribution,51 391,"4,3","3,8",360814,762241.0,Autumn
no man's land,2001-09-19,Comédie dramatique,98,Danis Tanovic,Danis Tanovic,"Aleksandar Petrovic (II), Branko Đurić, Rene Bitorajac",France,Océan Films,46 453,"4,3","3,8",23559,8000000.0,Autumn
charlatan,2021-06-30,"Biopic, Drame, Historique",119,Agnieszka Holland,Marek Epstein,"Ivan Trojan, Josef Trojan, Juraj Loj",Pologne,KMBO,17 917,"3,0","3,5",157243,0.0,Summer
l'amour est un crime parfait,2014-01-15,Thriller,115,Jean-Marie Larrieu,Arnaud Larrieu,"Mathieu Amalric, Karin Viard,  Maïwenn",France,Gaumont Distribution,171 693,"3,2","2,3",689522,0.0,Winter
bad lieutenant: port of call new orleans,2010-03-17,"Policier, Drame",122,Werner Herzog,William M. Finkelstein,"Nicolas Cage, Eva Mendes, Val Kilmer",U.S.A.,Metropolitan FilmExport,199 231,"3,5","2,6",403719,25000000.0,Spring
m,2017-11-15,Drame,100,Sara Forestier,Sara Forestier,"Sara Forestier, Redouanne Harjane, Jean-Pierre Léaud",France,Ad Vitam,35 112,"3,2","3,7",184293,86000000.0,Autumn
daddy day care,2003-10-22,"Comédie, Famille",93,Steve Carr,Geoff Rodkey,"Eddie Murphy, Anjelica Huston, Steve Zahn",U.S.A.,Columbia TriStar Films,203 655,"2,9","2,2",35979,60000000.0,Autumn
the mexican,2001-04-25,"Comédie, Romance, Aventure, Policier",125,Gore Verbinski,J.H. Wyman,"Brad Pitt, Julia Roberts, James Gandolfini",Mexique,United International Pictures (UIP),374 470,"2,4","2,1",32221,57000000.0,Spring
ratchet & clank,2016-04-13,"Animation, Aventure, Famille",94,Jericca Cleland,"Kevin Munroe, T.J. Fixman, Kevin Munroe"," Squeezie, James Arnold Taylor, Xavier Fagnon",Canada,La Belle Company,97 190,"2,2","2,3",287884,20000000.0,Spring
the happy prince,2018-12-19,"Biopic, Drame",105,Rupert Everett,Rupert Everett,"Rupert Everett, Colin Firth, Colin Morgan (II)",Grande-Bretagne,Océan Films,13 801,"3,0","2,9",54249,0.0,Winter
step up 3-d,2010-08-18,"Romance, Comédie musicale",107,Jon M. Chu,"Amy Andelson, Emily Meyer","Rick Malambri, Adam Sevani, Sharni Vinson",U.S.A.,Universal Pictures International France,355 666,"3,3","3,7",1746305,30000000.0,Summer
"telle mère, telle fille",2017-03-29,Comédie,94,Noémie Saglio,"Noémie Saglio, Agathe Pastorino","Juliette Binoche, Camille Cottin, Lambert Wilson",France,Gaumont Distribution,123 885,"3,0","2,0",523427,0.0,Spring
the attack,2013-05-29,Drame,102,Ziad Doueiri,"Joëlle Touma, Ziad Doueiri","Ali Suliman, Reymonde Amsellem, Evgenia Dodina",France,Wild Bunch Distribution,45 581,"3,8","3,8",353391,0.0,Spring
murder by numbers,2002-06-05,"Policier, Thriller",118,Barbet Schroeder,Tony Gayton,"Sandra Bullock, Ryan Gosling, Michael Pitt",U.S.A.,Warner Bros. France,201 857,"3,1","2,6",29355,50000000.0,Summer
america latina,2022-08-17,Thriller,93,Damiano D'Innocenzo,"Fabio D'Innocenzo, Damiano D'Innocenzo, Fabio D'Innocenzo","Elio Germano, Astrid Casali, Sara Ciocca",Italie,Le Pacte,4 183,"2,8","2,4",29482,0.0,Summer
lakeview terrace,2008-10-01,"Drame, Thriller, Policier",111,Neil LaBute,"David Loughery, Howard Korder","Samuel L. Jackson, Kerry Washington, Patrick Wilson",U.S.A.,Sony Pictures Releasing France,140 811,"2,8","2,6",284642,20000000.0,Autumn
das mädchen und die spinne,2021-10-20,Drame,98,Ramon Zürcher,"Silvan Zürcher, Ramon Zürcher, Silvan Zürcher","Henriette Confurius, Liliane Amuat, Ursina Lardi",Suisse,Wayna Pitch,1 008,"3,8","2,8",8108,0.0,Autumn
the least of these: the graham staines story,2023-05-10,"Drame, Biopic",109,Aneesh Daniel,"Andrew Matthews (II), Aneesh Daniel","Stephen Baldwin, Sharman Joshi, Shari Rigby",U.S.A.,Saje Distribution,4 192,"3,5",--,2045,0.0,Spring
a walk among the tombstones,2014-10-15,"Thriller, Policier",114,Scott Frank,Scott Frank,"Liam Neeson, Dan Stevens, Boyd Holbrook",U.S.A.,Metropolitan FilmExport,110 509,"3,3","3,1",292404,28000000.0,Autumn
devil,2011-04-20,"Epouvante-horreur, Fantastique, Thriller",80,John Erick Dowdle,Brian Nelson,"Chris Messina, Logan Marshall-Green, Jenny O'Hara",U.S.A.,Universal Pictures International France,10 803,"1,7","2,3",335910,10000000.0,Spring
je crois que je l'aime,2007-02-21,"Romance, Comédie",90,Pierre Jolivet,"Pierre Jolivet, Simon Michaël","Vincent Lindon, Sandrine Bonnaire, François Berléand",France,StudioCanal,360 449,"3,6","2,4",243785,5621000.0,Winter
seed of chucky,2005-03-02,"Epouvante-horreur, Fantastique",87,Don Mancini,Don Mancini,"Jennifer Tilly, Brad Dourif, Billy Boyd",U.S.A.,Rogue Pictures,94 206,"3,4","1,9",134237,12000000.0,Spring
bewitched,2005-09-21,"Comédie, Fantastique, Romance",102,Nora Ephron,"Delia Ephron, Nora Ephron","Nicole Kidman, Will Ferrell, Shirley MacLaine",U.S.A.,Gaumont Columbia Tristar Films,346 788,"2,9","1,3",203040,85000000.0,Autumn
the last legion,2007-09-19,"Aventure, Action, Guerre",101,Doug Lefler,"Jez Butterworth, Tom Butterworth","Colin Firth, Ben Kingsley, Aishwarya Rai",Grande-Bretagne,Quinta Distribution,113 278,"1,9","1,9",363387,67000000.0,Autumn
star wars: the clone wars,2008-08-27,"Science fiction, Animation",97,Dave Filoni,"Henry Gilroy, Steven Melching","Anthony Daniels, Christopher Lee, Samuel L. Jackson",U.S.A.,Warner Bros. France,184 563,"2,6","3,3",394760,8500000.0,Summer
the cut,2015-01-14,"Drame, Historique",138,Fatih Akın,"Fatih Akın, Mardik Martin","Tahar Rahim, Simon Abkarian, Makram Khoury",Allemagne,Pyramide Distribution,25 397,"2,1","3,5",247036,16000000.0,Winter
mastemah,2022-06-29,"Epouvante-horreur, Thriller",101,Didier D. Daarwin,"Didier D. Daarwin, Johanne Rigoulot","Camille Razat, Olivier Barthelemy, Tibo Vandenborre",France,Alba Films,3 603,"1,3","1,6",89986,0.0,Summer
certain women,2017-02-22,Drame,107,Kelly Reichardt,Kelly Reichardt,"Kristen Stewart, Michelle Williams, Laura Dern",U.S.A.,LFR Films,16 092,"4,1","3,1",105242,2000000.0,Winter
abus de faiblesse,2014-02-12,Drame,105,Catherine Breillat,Catherine Breillat,"Isabelle Huppert, Kool Shen, Laurence Ursino",France,Rezo Films,17 386,"3,1","2,2",147799,0.0,Winter
the rum diary,2011-11-30,"Comédie, Aventure, Drame",120,Bruce Robinson,Bruce Robinson,"Johnny Depp, Aaron Eckhart, Michael Rispoli",U.S.A.,Metropolitan FilmExport,58 749,"2,4","2,4",1084865,45000000.0,Autumn
fai bei sogni,2016-12-28,Drame,134,Marco Bellocchio,"Valia Santella, Edoardo Albinati","Valerio Mastandrea, Bérénice Bejo, Guido Caprino",Italie,Ad Vitam,42 042,"3,8","3,5",104821,0.0,Winter
freeheld,2016-02-10,"Drame, Romance",104,Peter Sollett,Ron Nyswaner,"Julianne Moore, Elliot Page, Steve Carell",U.S.A.,Orange Studio,25 790,"2,8","3,8",363646,7000000.0,Winter
macbeth,2015-11-18,Drame,113,Justin Kurzel,"Todd Louiso, Jacob Koskoff","Michael Fassbender, Marion Cotillard, David Thewlis",Grande-Bretagne,StudioCanal,41 081,"3,2","2,9",1229317,3100000.0,Autumn
ternet ninja,2020-07-15,"Animation, Aventure, Comédie",81,Anders Matthesen,"Thorbjørn Christoffersen, Anders Matthesen","Stéphane Ronchewski, Anders Matthesen, Adeline Chetail",Danemark,Alba Films,58 314,"3,7","2,5",216090,0.0,Summer
blade: trinity,2004-12-08,"Fantastique, Action",106,David S. Goyer,David S. Goyer,"Wesley Snipes, Kris Kristofferson, Ryan Reynolds",U.S.A.,Metropolitan FilmExport,321 904,"2,8","2,0",192281,65000000.0,Winter
tom yum goong,2006-02-08,"Arts Martiaux, Action",94,Prachya Pinkaew,"Prachya Pinkaew,  Napalee","Tony Jaa, Petthai Wongkhamlao, Bongkoj Khongmalai",Thaïlande,TFM Distribution,216 132,"2,1","2,5",173997,6000000.0,Winter
augustine,2012-11-07,Drame,102,Alice Winocour,Alice Winocour,"Vincent Lindon,  Soko, Chiara Mastroianni",France,ARP Sélection,67 617,"3,9","2,6",812584,0.0,Autumn
3 coeurs,2014-09-17,"Drame, Romance",106,Benoit Jacquot,"Benoit Jacquot, Julien Boivent","Benoît Poelvoorde, Charlotte Gainsbourg, Chiara Mastroianni",France,Wild Bunch Distribution,160 854,"3,6","2,6",600262,0.0,Autumn
une femme de ménage,2002-11-13,Comédie dramatique,88,Claude Berri,Claude Berri,"Jean-Pierre Bacri, Emilie Dequenne, Brigitte Catillon",France,Pathé,277 359,"4,0","2,5",58717,0.0,Autumn
serendipity,2002-02-20,"Comédie, Romance",87,Peter Chelsom,Marc Klein,"John Cusack, Kate Beckinsale, Jeremy Piven",U.S.A.,Mars Distribution,144 404,"3,2","2,9",50080,28000000.0,Winter
l'heure d'été,2008-03-05,Drame,103,Olivier Assayas,Olivier Assayas,"Juliette Binoche, Charles Berling, Jérémie Renier",France,MK2 Diffusion,151 227,"3,8","2,4",169815,0.0,Spring
the visitor,2008-10-29,"Drame, Musical, Romance",105,Tom McCarthy,Tom McCarthy,"Richard Jenkins, Haaz Sleiman, Danai Gurira",U.S.A.,TFM Distribution,65 990,"4,1","4,1",206859,0.0,Autumn
antigone,2020-09-02,"Drame, Policier",109,Sophie Deraspe,Sophie Deraspe,"Nahéma Ricci, Rachida Oussaada, Nour Belkhiria",Canada,Les Alchimistes,1 261,"3,6","3,8",89550,3500000.0,Autumn
the spirit,2008-12-31,"Action, Thriller",103,Frank Miller,Frank Miller,"Gabriel Macht, Samuel L. Jackson, Scarlett Johansson",U.S.A.,Sony Pictures Releasing France,174 687,"2,6","2,0",515482,60000000.0,Winter
sous les étoiles de paris,2020-10-28,"Comédie dramatique, Drame, Comédie",82,Claus Drexel,"Claus Drexel, Olivier Brunhes","Catherine Frot, Mahamadou Yaffa, Jean-Henri Compère",France,Diaphana Distribution,7 734,"3,1","2,4",209846,0.0,Autumn
ariaferma,2022-11-16,Drame,117,Leonardo Di Costanzo,"Leonardo Di Costanzo, Bruno Oliviero","Toni Servillo, Silvio Orlando, Fabrizio Ferracane",Italie,Survivance,5 159,"3,6","4,0",78672,0.0,Autumn
domino,2005-11-23,"Policier, Action, Drame",128,Tony Scott,"Richard Kelly, Steve Barancik","Keira Knightley, Mickey Rourke, Édgar Ramírez",France,Metropolitan FilmExport,119 522,"3,1","2,7",27595,7800000.0,Autumn
la fille de monaco,2008-08-20,Comédie dramatique,95,Anne Fontaine,"Benoît Graffin, Anne Fontaine","Fabrice Luchini, Roschdy Zem, Louise Bourgoin",France,Warner Bros. France,305 632,"3,2","2,1",485520,0.0,Summer
submarine,2011-07-20,Comédie dramatique,107,Richard Ayoade,Richard Ayoade,"Craig Roberts, Sally Hawkins, Yasmin Paige",U.S.A.,Mars Films,20 312,"2,8","3,6",276408,0.0,Summer
blindspotting,2018-10-03,Drame,95,Carlos Lopez Estrada,"Rafael Casal, Daveed Diggs","Daveed Diggs, Rafael Casal, Janina Gavankar",U.S.A.,Metropolitan FilmExport,11 971,"3,7","3,7",71774,0.0,Autumn
rafiki,2018-09-26,Drame,82,Wanuri Kahiu,"Wanuri Kahiu, Jenna Cato Bass","Samantha Mugatsia, Sheila Munyiva, Jimmi Gathu",Afrique du Sud,Météore Films,8 440,"3,2","3,6",109919,0.0,Autumn
the boxtrolls,2014-10-15,"Aventure, Famille, Animation, Fantastique",96,Graham Annable,"Anthony Stacchi, Irena Brignull, Adam Pava","Isaac Hempstead Wright, Elle Fanning, Ben Kingsley",U.S.A.,Universal Pictures International France,142 863,"3,6","3,7",344032,60000000.0,Autumn
"good night, and good luck.",2006-01-04,"Drame, Historique",93,George Clooney,"George Clooney, Grant Heslov","David Strathairn, George Clooney, Robert Downey Jr.",U.S.A.,Metropolitan FilmExport,156 464,"4,2","3,5",30697,7000000.0,Winter
fatima,2015-10-07,"Drame, Famille",79,Philippe Faucon,Philippe Faucon,"Soria Zeroual, Zita Hanrot, Kenza Noah Aïche",France,Pyramide Distribution,66 812,"4,3","3,5",340372,0.0,Autumn
mauvais esprit,2003-11-05,Comédie,90,Patrick Alessandrin,Laurent Chouchan,"Audrey Langle, Thierry Lhermitte, Ophélie Winter",France,Pathé,489 107,"2,1","1,3",23596,0.0,Autumn
revenir,2020-01-29,Drame,77,Jessica Palud,Jessica Palud,"Niels Schneider, Adèle Exarchopoulos, Patrick d'Assumçao",France,Pyramide Distribution,22 258,"3,1","3,1",207903,0.0,Winter
stranger than fiction,2007-01-10,"Comédie, Fantastique, Romance",105,Marc Forster,Zach Helm,"Will Ferrell, Emma Thompson, Maggie Gyllenhaal",U.S.A.,Gaumont Columbia Tristar Films,70 911,"3,2","3,3",132425,30000000.0,Winter
bad company,2002-07-17,"Action, Comédie",117,Joel Schumacher,"Michael Browning, Mick Garris","Anthony Hopkins, Chris Rock, Peter Stormare",U.S.A.,Gaumont Buena Vista International (GBVI),224 800,"2,6","2,3",24138,70000000.0,Summer
papa,2005-06-01,Comédie dramatique,80,Maurice Barthélémy,Maurice Barthélémy,"Alain Chabat, Martin Combes, Yaël Abecassis",France,Gaumont Columbia Tristar Films,120 645,"4,0","3,2",109770,0.0,Summer
le réseau shelburn,2020-01-22,"Guerre, Drame",123,Nicolas Guillou,Nicolas Guillou,"Alexandra Robert, Laurent Chandemerle, Brice Ormain",France,Vent d'Ouest Distribution,87,"2,9","3,8",37532,0.0,Winter
the sea of trees,2016-04-27,Drame,110,Gus Van Sant,Chris Sparling,"Matthew McConaughey, Ken Watanabe, Naomi Watts",U.S.A.,SND,20 069,"1,8","2,8",589688,0.0,Spring
paranormal activity 2,2010-10-20,Epouvante-horreur,91,Tod Williams,"Michael R. Perry, Christopher Landon","Katie Featherston, Brian Boland, Molly Ephraim",U.S.A.,Paramount Pictures France,377 068,"2,2","2,0",1797394,3000000.0,Autumn
tokyo!,2008-10-15,"Comédie dramatique, Romance, Fantastique",105,Michel Gondry,"Leos Carax, Bong Joon Ho, Michel Gondry, Leos Carax","Ayako Fujitani, Ryô Kase, Ayumi Ito",France,Haut et Court,26 708,"3,8","3,4",101816,0.0,Autumn
rendition,2008-01-09,"Thriller, Drame",122,Gavin Hood,Kelly Sane,"Jake Gyllenhaal, Reese Witherspoon, Meryl Streep",U.S.A.,Metropolitan FilmExport,85 678,"2,9","3,1",241246,27500000.0,Winter
38 témoins,2012-03-14,Drame,104,Lucas Belvaux,Lucas Belvaux,"Yvan Attal, Sophie Quinton, Nicole Garcia",France,Diaphana Distribution,104 634,"3,5","2,6",656530,9317585.0,Spring
éternité,2016-09-07,Drame,115,Tran Anh Hung,Tran Anh Hung,"Audrey Tautou, Bérénice Bejo, Mélanie Laurent",France,Pathé,50 697,"2,9","2,1",670959,0.0,Autumn
